manufacturer_id	manufacturer_name
940	KRACKER ENTERPRISES LLC
3232	SUMMIT CHEMICAL CO
8100	MILK IMCHI INC
11664	KITU LIFE INC
2942	HILTON SOY FOODS
863	LEOSONS
4484	OIL-DRI CORPORATION OF AMERICA
5057	THE CREMO COMPANY
7603	981300 ONTARIO LTD
8504	GLICKS FOOD CORP
2589	THE PITTSBURGH FUDGE CO.
6814	BOSKOVICH FARMS, INC
7216	GOLOSINAS DE MEXICO S.A. DE C.V.
8993	DUCERE PHARMA LLC
12143	VITAL LEAF INC
9596	CAITO FOODS SERVICE INC
289	WIN SCHULER FOODS INC.
4161	HERRON FOODS LLC
8300	KNEE DEEP BREWING COMPANY
13042	LAWRENCE FOODS INCORPORATED
2213	BROTHER INDUSTRIES, LTD.
6327	SOUTH SEAS SEAFOOD
1809	HERBAL PAPAYA LLC
4188	CALIFORNIA NATURAL PRODUCTS
8363	OWEN MUMFORD INC
7577	SHAGBARK SEED & MILL CO.
1938	LORD SANDY'S TRADING COMPANY
7312	IT'S A 10 INC
10765	RIVERBOAT PRODUCE, LLC
5817	FREESTONE VINEYARDS
7283	CASA NOBLE IMPORTS
2788	SWEET DESIGNS CHOCOLATIER INC
12487	PALM NV-SA
10639	BRAMI INC
12690	LINDENGRUPPEN AB
12447	ELMWOOD DESIGN LIMITED
5722	HILL COUNTRY BAKERY
7552	THE FOOD MERCHANTS INC
1427	NICHOLS PLC
9594	HALBY MARKETING INC
10622	THE RIVER GROUP
12464	AXCENTRIA PHARMACEUTICALS LLC
10424	SIZEMORE FARMS INC
8486	MONOMOY CAPITAL PARTNERS
11442	PALEONOLA LLC
104	SCHECKTER'S ORGANIC BEVERAGES LTD.
1323	TOYSMITH GROUP
8052	DELICATO FAMILY VINEYARDS
3391	FSJ IMPORTS LLC
969	GENERAL WAX & CANDLE CO.
4081	BADIA SPICES, INC.
12338	MATI INC
20	IDT CORPORATION
7014	TWO BROTHERS BREWING CO
10329	WILLIAMSON BROS. BAR-B-Q
6387	THATCHER'S ORGANIC ARTISAN SPIRITS
7876	CENSEA INC
12940	SMASHMALLOW LLC
2473	THE MUFFIN MAM, INC.
5638	SEVEN SUNDAYS LLC
10369	FARCHIONI S.P.A.
